date_id,date,year,quarter,month,month_name,week_of_year,day_of_week,day_name,is_weekend
20050214,2005-02-14,2005,1,2,February,7,1,Monday,false
20050215,2005-02-15,2005,1,2,February,7,2,Tuesday,false
20050216,2005-02-16,2005,1,2,February,7,3,Wednesday,false
20050217,2005-02-17,2005,1,2,February,7,4,Thursday,false
20050218,2005-02-18,2005,1,2,February,7,5,Friday,false
20050219,2005-02-19,2005,1,2,February,7,6,Saturday,true
20050220,2005-02-20,2005,1,2,February,7,7,Sunday,true
20050221,2005-02-21,2005,1,2,February,8,1,Monday,false
20050222,2005-02-22,2005,1,2,February,8,2,Tuesday,false
20050223,2005-02-23,2005,1,2,February,8,3,Wednesday,false
20050224,2005-02-24,2005,1,2,February,8,4,Thursday,false
20050225,2005-02-25,2005,1,2,February,8,5,Friday,false
20050226,2005-02-26,2005,1,2,February,8,6,Saturday,true
20050227,2005-02-27,2005,1,2,February,8,7,Sunday,true
20050228,2005-02-28,2005,1,2,February,9,1,Monday,false
20050301,2005-03-01,2005,1,3,March,9,2,Tuesday,false
20050302,2005-03-02,2005,1,3,March,9,3,Wednesday,false
20050303,2005-03-03,2005,1,3,March,9,4,Thursday,false
20050304,2005-03-04,2005,1,3,March,9,5,Friday,false
20050305,2005-03-05,2005,1,3,March,9,6,Saturday,true
20050306,2005-03-06,2005,1,3,March,9,7,Sunday,true
20050307,2005-03-07,2005,1,3,March,10,1,Monday,false
20050308,2005-03-08,2005,1,3,March,10,2,Tuesday,false
20050309,2005-03-09,2005,1,3,March,10,3,Wednesday,false
20050310,2005-03-10,2005,1,3,March,10,4,Thursday,false
20050311,2005-03-11,2005,1,3,March,10,5,Friday,false
20050312,2005-03-12,2005,1,3,March,10,6,Saturday,true
20050313,2005-03-13,2005,1,3,March,10,7,Sunday,true
20050314,2005-03-14,2005,1,3,March,11,1,Monday,false
20050315,2005-03-15,2005,1,3,March,11,2,Tuesday,false
20050316,2005-03-16,2005,1,3,March,11,3,Wednesday,false
20050317,2005-03-17,2005,1,3,March,11,4,Thursday,false
20050318,2005-03-18,2005,1,3,March,11,5,Friday,false
20050319,2005-03-19,2005,1,3,March,11,6,Saturday,true
20050320,2005-03-20,2005,1,3,March,11,7,Sunday,true
20050321,2005-03-21,2005,1,3,March,12,1,Monday,false
20050322,2005-03-22,2005,1,3,March,12,2,Tuesday,false
20050323,2005-03-23,2005,1,3,March,12,3,Wednesday,false
20050324,2005-03-24,2005,1,3,March,12,4,Thursday,false
20050325,2005-03-25,2005,1,3,March,12,5,Friday,false
20050326,2005-03-26,2005,1,3,March,12,6,Saturday,true
20050327,2005-03-27,2005,1,3,March,12,7,Sunday,true
20050328,2005-03-28,2005,1,3,March,13,1,Monday,false
20050329,2005-03-29,2005,1,3,March,13,2,Tuesday,false
20050330,2005-03-30,2005,1,3,March,13,3,Wednesday,false
20050331,2005-03-31,2005,1,3,March,13,4,Thursday,false
20050401,2005-04-01,2005,2,4,April,13,5,Friday,false
20050402,2005-04-02,2005,2,4,April,13,6,Saturday,true
20050403,2005-04-03,2005,2,4,April,13,7,Sunday,true
20050404,2005-04-04,2005,2,4,April,14,1,Monday,false
20050405,2005-04-05,2005,2,4,April,14,2,Tuesday,false
20050406,2005-04-06,2005,2,4,April,14,3,Wednesday,false
20050407,2005-04-07,2005,2,4,April,14,4,Thursday,false
20050408,2005-04-08,2005,2,4,April,14,5,Friday,false
20050409,2005-04-09,2005,2,4,April,14,6,Saturday,true
20050410,2005-04-10,2005,2,4,April,14,7,Sunday,true
20050411,2005-04-11,2005,2,4,April,15,1,Monday,false
20050412,2005-04-12,2005,2,4,April,15,2,Tuesday,false
20050413,2005-04-13,2005,2,4,April,15,3,Wednesday,false
20050414,2005-04-14,2005,2,4,April,15,4,Thursday,false
20050415,2005-04-15,2005,2,4,April,15,5,Friday,false
20050416,2005-04-16,2005,2,4,April,15,6,Saturday,true
20050417,2005-04-17,2005,2,4,April,15,7,Sunday,true
20050418,2005-04-18,2005,2,4,April,16,1,Monday,false
20050419,2005-04-19,2005,2,4,April,16,2,Tuesday,false
20050420,2005-04-20,2005,2,4,April,16,3,Wednesday,false
20050421,2005-04-21,2005,2,4,April,16,4,Thursday,false
20050422,2005-04-22,2005,2,4,April,16,5,Friday,false
20050423,2005-04-23,2005,2,4,April,16,6,Saturday,true
20050424,2005-04-24,2005,2,4,April,16,7,Sunday,true
20050425,2005-04-25,2005,2,4,April,17,1,Monday,false
20050426,2005-04-26,2005,2,4,April,17,2,Tuesday,false
20050427,2005-04-27,2005,2,4,April,17,3,Wednesday,false
20050428,2005-04-28,2005,2,4,April,17,4,Thursday,false
20050429,2005-04-29,2005,2,4,April,17,5,Friday,false
20050430,2005-04-30,2005,2,4,April,17,6,Saturday,true
20050501,2005-05-01,2005,2,5,May,17,7,Sunday,true
20050502,2005-05-02,2005,2,5,May,18,1,Monday,false
20050503,2005-05-03,2005,2,5,May,18,2,Tuesday,false
20050504,2005-05-04,2005,2,5,May,18,3,Wednesday,false
20050505,2005-05-05,2005,2,5,May,18,4,Thursday,false
20050506,2005-05-06,2005,2,5,May,18,5,Friday,false
20050507,2005-05-07,2005,2,5,May,18,6,Saturday,true
20050508,2005-05-08,2005,2,5,May,18,7,Sunday,true
20050509,2005-05-09,2005,2,5,May,19,1,Monday,false
20050510,2005-05-10,2005,2,5,May,19,2,Tuesday,false
20050511,2005-05-11,2005,2,5,May,19,3,Wednesday,false
20050512,2005-05-12,2005,2,5,May,19,4,Thursday,false
20050513,2005-05-13,2005,2,5,May,19,5,Friday,false
20050514,2005-05-14,2005,2,5,May,19,6,Saturday,true
20050515,2005-05-15,2005,2,5,May,19,7,Sunday,true
20050516,2005-05-16,2005,2,5,May,20,1,Monday,false
20050517,2005-05-17,2005,2,5,May,20,2,Tuesday,false
20050518,2005-05-18,2005,2,5,May,20,3,Wednesday,false
20050519,2005-05-19,2005,2,5,May,20,4,Thursday,false
20050520,2005-05-20,2005,2,5,May,20,5,Friday,false
20050521,2005-05-21,2005,2,5,May,20,6,Saturday,true
20050522,2005-05-22,2005,2,5,May,20,7,Sunday,true
20050523,2005-05-23,2005,2,5,May,21,1,Monday,false
20050524,2005-05-24,2005,2,5,May,21,2,Tuesday,false
20050525,2005-05-25,2005,2,5,May,21,3,Wednesday,false
20050526,2005-05-26,2005,2,5,May,21,4,Thursday,false
20050527,2005-05-27,2005,2,5,May,21,5,Friday,false
20050528,2005-05-28,2005,2,5,May,21,6,Saturday,true
20050529,2005-05-29,2005,2,5,May,21,7,Sunday,true
20050530,2005-05-30,2005,2,5,May,22,1,Monday,false
20050531,2005-05-31,2005,2,5,May,22,2,Tuesday,false
20050601,2005-06-01,2005,2,6,June,22,3,Wednesday,false
20050602,2005-06-02,2005,2,6,June,22,4,Thursday,false
20050603,2005-06-03,2005,2,6,June,22,5,Friday,false
20050604,2005-06-04,2005,2,6,June,22,6,Saturday,true
20050605,2005-06-05,2005,2,6,June,22,7,Sunday,true
20050606,2005-06-06,2005,2,6,June,23,1,Monday,false
20050607,2005-06-07,2005,2,6,June,23,2,Tuesday,false
20050608,2005-06-08,2005,2,6,June,23,3,Wednesday,false
20050609,2005-06-09,2005,2,6,June,23,4,Thursday,false
20050610,2005-06-10,2005,2,6,June,23,5,Friday,false
20050611,2005-06-11,2005,2,6,June,23,6,Saturday,true
20050612,2005-06-12,2005,2,6,June,23,7,Sunday,true
20050613,2005-06-13,2005,2,6,June,24,1,Monday,false
20050614,2005-06-14,2005,2,6,June,24,2,Tuesday,false
20050615,2005-06-15,2005,2,6,June,24,3,Wednesday,false
20050616,2005-06-16,2005,2,6,June,24,4,Thursday,false
20050617,2005-06-17,2005,2,6,June,24,5,Friday,false
20050618,2005-06-18,2005,2,6,June,24,6,Saturday,true
20050619,2005-06-19,2005,2,6,June,24,7,Sunday,true
20050620,2005-06-20,2005,2,6,June,25,1,Monday,false
20050621,2005-06-21,2005,2,6,June,25,2,Tuesday,false
20050622,2005-06-22,2005,2,6,June,25,3,Wednesday,false
20050623,2005-06-23,2005,2,6,June,25,4,Thursday,false
20050624,2005-06-24,2005,2,6,June,25,5,Friday,false
20050625,2005-06-25,2005,2,6,June,25,6,Saturday,true
20050626,2005-06-26,2005,2,6,June,25,7,Sunday,true
20050627,2005-06-27,2005,2,6,June,26,1,Monday,false
20050628,2005-06-28,2005,2,6,June,26,2,Tuesday,false
20050629,2005-06-29,2005,2,6,June,26,3,Wednesday,false
20050630,2005-06-30,2005,2,6,June,26,4,Thursday,false
20050701,2005-07-01,2005,3,7,July,26,5,Friday,false
20050702,2005-07-02,2005,3,7,July,26,6,Saturday,true
20050703,2005-07-03,2005,3,7,July,26,7,Sunday,true
20050704,2005-07-04,2005,3,7,July,27,1,Monday,false
20050705,2005-07-05,2005,3,7,July,27,2,Tuesday,false
20050706,2005-07-06,2005,3,7,July,27,3,Wednesday,false
20050707,2005-07-07,2005,3,7,July,27,4,Thursday,false
20050708,2005-07-08,2005,3,7,July,27,5,Friday,false
20050709,2005-07-09,2005,3,7,July,27,6,Saturday,true
20050710,2005-07-10,2005,3,7,July,27,7,Sunday,true
20050711,2005-07-11,2005,3,7,July,28,1,Monday,false
20050712,2005-07-12,2005,3,7,July,28,2,Tuesday,false
20050713,2005-07-13,2005,3,7,July,28,3,Wednesday,false
20050714,2005-07-14,2005,3,7,July,28,4,Thursday,false
20050715,2005-07-15,2005,3,7,July,28,5,Friday,false
20050716,2005-07-16,2005,3,7,July,28,6,Saturday,true
20050717,2005-07-17,2005,3,7,July,28,7,Sunday,true
20050718,2005-07-18,2005,3,7,July,29,1,Monday,false
20050719,2005-07-19,2005,3,7,July,29,2,Tuesday,false
20050720,2005-07-20,2005,3,7,July,29,3,Wednesday,false
20050721,2005-07-21,2005,3,7,July,29,4,Thursday,false
20050722,2005-07-22,2005,3,7,July,29,5,Friday,false
20050723,2005-07-23,2005,3,7,July,29,6,Saturday,true
20050724,2005-07-24,2005,3,7,July,29,7,Sunday,true
20050725,2005-07-25,2005,3,7,July,30,1,Monday,false
20050726,2005-07-26,2005,3,7,July,30,2,Tuesday,false
